productid,category,brand,season,size,color,originalprice,markdownpercentage,currentprice,purchasedate,stockquantity,customerrating,isreturned,returnreason,customer_city,shipping_km,base_env_impact_kg,total_env_impact_kg,customer_height_cm,customer_weight_kg,garment_length_cm,garment_width_cm,seasonal_weather_impact,campaign_type
FB000092,Accessories,Zara,Winter,,Brown,30.95,0,30.95,8/6/2025,27,3.1,TRUE,Changed Mind,Seattle,1150,1.2,9.3,171,73,36,12,cold,sustainability promo
FB000093,Shoes,Zara,Summer,S,Black,76.92,49.5,38.84,8/6/2025,7,1.1,FALSE,,NY,300,5.5,6.4,163,49,29,5,heatwave,new collection
FB000094,Bottoms,H&M,Fall,XS,Beige,80.64,0,80.64,8/6/2025,26,,FALSE,,Seattle,1150,3.8,7.25,152,60,108,37,coldsnap,new collection
FB000095,Bottoms,Zara,Fall,XS,Beige,32.46,52.4,15.45,8/6/2025,14,3.9,FALSE,,Chicago,800,3.8,6.199999999999999,155,60,100,36,coldsnap,new collection
FB000096,Accessories,Gap,Summer,,Black,54.79,0,54.79,8/6/2025,12,4.5,FALSE,,Seattle,1150,1.2,4.65,168,74,37,13,heatwave,new collection
FB000097,Bottoms,H&M,Winter,M,Pink,71.14,56.4,31.02,8/6/2025,12,3.4,FALSE,,LA,1200,3.8,7.4,163,66,107,36,cold,new collection
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy,57.85,0,57.85,8/6/2025,36,3.5,FALSE,,NY,300,3.8,4.7,184,92,108,39,heatwave,sustainability promo
FB000099,Bottoms,Zara,Summer,XS,Green,33.37,3,32.37,8/6/2025,40,1.3,FALSE,,NY,300,3.8,4.7,154,60,101,39,heatwave,new collection
FB000100,Tops,Gap,Summer,L,Black,91.83,0,91.83,8/6/2025,39,4.9,FALSE,,Dallas,1100,2.5,5.800000000000001,165,70,68,100,heatwave,none
FB000101,Bottoms,Zara,Fall,L,White,60.12,19.5,48.4,8/6/2025,42,1,FALSE,,LA,1200,3.8,7.4,166,72,106,37,coldsnap,discount email
FB000102,Dresses,Banana Republic,Winter,S,White,163.5,0,163.5,8/6/2025,34,4.9,FALSE,,Seattle,1150,4.5,7.95,162,53,96,87,cold,new collection
FB000103,Dresses,Uniqlo,Spring,S,Beige,126.37,0,126.37,11/8/2024,25,1.8,FALSE,,Chicago,800,4.5,6.9,162,64,98,92,rain,new collection
FB000104,Bottoms,Uniqlo,Winter,L,Navy,50.01,58.2,20.9,8/6/2025,32,4.8,FALSE,,Dallas,1100,3.8,7.1,175,81,107,35,cold,sustainability promo
FB000105,Shoes,H&M,Winter,S,Red,84.31,0,84.31,8/6/2025,10,3.9,FALSE,,LA,1200,5.5,9.1,161,48,25,5,cold,new collection
FB000106,Bottoms,Banana Republic,Spring,XL,Beige,100.98,0,100.98,6/17/2025,21,2.8,FALSE,,LA,1200,3.8,7.4,174,70,101,47,rain,new collection
FB000107,Bottoms,Banana Republic,Summer,M,Beige,38.02,0,38.02,8/6/2025,44,4.7,FALSE,,NY,300,3.8,4.7,169,63,105,41,heatwave,new collection
FB000108,Bottoms,H&M,Fall,XL,Blue,63.85,0,63.85,8/6/2025,41,,FALSE,,NY,300,3.8,4.7,177,74,105,36,coldsnap,sustainability promo
FB000109,Shoes,H&M,Fall,XS,Navy,183.15,0,183.15,8/6/2025,23,4.1,FALSE,,Seattle,1150,5.5,8.95,159,47,23,3,coldsnap,new collection
FB000110,Dresses,Zara,Winter,S,Gray,91,59.5,36.86,8/6/2025,5,3.9,FALSE,,Seattle,1150,4.5,7.95,155,64,106,98,cold,discount email
FB000111,Outerwear,Uniqlo,Spring,L,Black,92.83,0,92.83,7/20/2025,9,1.2,FALSE,,Seattle,1150,7,10.45,173,71,67,108,rain,sustainability promo
FB000112,Accessories,Banana Republic,Winter,,Brown,34.45,0,34.45,8/6/2025,4,4.5,FALSE,,Atlanta,900,1.2,3.9000000000000004,170,68,35,7,cold,discount email
FB000113,Dresses,H&M,Fall,S,Purple,128.15,50,64.08,8/6/2025,28,3.2,FALSE,,NY,300,4.5,5.4,164,55,104,93,coldsnap,sustainability promo
FB000114,Tops,Mango,Summer,XXL,Red,99.62,33.8,65.95,8/6/2025,27,2.1,FALSE,,NY,300,2.5,3.4,178,93,67,93,heatwave,new collection
FB000115,Bottoms,Forever21,Winter,S,Pink,87.39,25.5,65.11,8/6/2025,8,2.3,FALSE,,Chicago,800,3.8,6.199999999999999,160,64,110,33,cold,discount email
FB000116,Tops,Zara,Spring,XXL,Brown,49.67,0,49.67,9/6/2024,37,2.3,FALSE,,LA,1200,2.5,6.1,181,93,61,96,rain,sustainability promo
FB000117,Accessories,Uniqlo,Fall,,Brown,72.04,0,72.04,8/6/2025,48,,TRUE,Wrong Item,Dallas,1100,1.2,9,162,72,36,4,coldsnap,none
FB000118,Dresses,Zara,Spring,M,Navy,133.82,0,133.82,11/25/2024,12,1.7,FALSE,,Dallas,1100,4.5,7.800000000000001,170,58,106,90,rain,new collection
FB000119,Bottoms,Uniqlo,Winter,S,Black,62.93,0,62.93,8/6/2025,49,,FALSE,,NY,300,3.8,4.7,159,58,102,47,cold,sustainability promo
FB000120,Outerwear,Zara,Spring,L,Red,248.58,0,248.58,7/4/2025,27,1.5,FALSE,,Dallas,1100,7,10.3,170,76,76,113,rain,none
FB000121,Shoes,Uniqlo,Fall,XXL,Navy,61.08,0,61.08,8/6/2025,27,,TRUE,Changed Mind,Atlanta,900,5.5,16.4,176,91,30,3,coldsnap,sustainability promo
FB000122,Bottoms,Gap,Winter,S,Red,109.12,0,109.12,8/6/2025,34,,FALSE,,NY,300,3.8,4.7,158,60,107,37,cold,none
FB000123,Outerwear,Zara,Winter,XXL,Purple,82.91,45.9,44.85,8/6/2025,24,,TRUE,Quality Issue,Seattle,1150,7,20.9,183,86,74,114,cold,new collection
FB000124,Shoes,H&M,Summer,XS,Purple,113.53,10.9,101.16,8/6/2025,40,2.8,FALSE,,Chicago,800,5.5,7.9,153,46,30,9,heatwave,discount email
FB000125,Accessories,Uniqlo,Winter,,Brown,38.89,51.5,18.86,8/6/2025,28,4.3,FALSE,,LA,1200,1.2,4.8,167,70,37,3,cold,none
FB000126,Dresses,Gap,Spring,XXL,Black,53.01,45.9,28.68,1/14/2025,37,3.7,FALSE,,Atlanta,900,4.5,7.2,183,95,99,93,rain,sustainability promo
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue,81.64,0,81.64,12/6/2024,50,1.1,FALSE,,LA,1200,5.5,9.1,178,91,27,8,rain,new collection
FB000128,Shoes,Ann Taylor,Spring,XXL,White,125.24,21.5,98.31,9/6/2024,7,2.9,FALSE,,Seattle,1150,5.5,8.95,184,94,31,10,rain,none
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink,98.61,0,98.61,3/5/2025,1,2.6,FALSE,,LA,1200,7,10.6,160,61,71,110,rain,sustainability promo
FB000130,Shoes,Gap,Fall,XS,Blue,77.54,0,77.54,8/6/2025,36,3.4,FALSE,,LA,1200,5.5,9.1,158,59,32,4,coldsnap,sustainability promo
FB000131,Dresses,Banana Republic,Spring,XL,Purple,79.13,0,79.13,11/16/2024,11,3.6,FALSE,,NY,300,4.5,5.4,170,77,103,99,rain,sustainability promo
FB000132,Bottoms,Mango,Spring,S,Green,96.11,0,96.11,4/12/2025,13,4.2,FALSE,,Chicago,800,3.8,6.199999999999999,166,55,104,36,rain,none
FB000133,Tops,Mango,Spring,XL,White,116.61,0,116.61,11/4/2024,31,,FALSE,,Atlanta,900,2.5,5.2,176,80,65,91,rain,none
FB000134,Accessories,Ann Taylor,Winter,,Blue,57.8,27,42.19,8/6/2025,9,1.8,FALSE,,LA,1200,1.2,4.8,167,65,34,5,cold,none
FB000135,Tops,H&M,Spring,S,White,110.78,0,110.78,1/13/2025,9,1.4,FALSE,,Atlanta,900,2.5,5.2,166,61,65,92,rain,discount email
FB000136,Tops,Gap,Spring,L,Black,112.63,0,112.63,10/14/2024,50,3.6,TRUE,Quality Issue,LA,1200,2.5,12.2,166,78,60,97,rain,none
FB000137,Tops,H&M,Summer,XS,Purple,89.36,0,89.36,8/6/2025,24,4.3,TRUE,Damaged,LA,1200,2.5,12.2,161,56,66,92,heatwave,none
FB000138,Outerwear,Forever21,Fall,M,Pink,127.99,0,127.99,8/6/2025,16,,FALSE,,Chicago,800,7,9.4,164,68,77,122,coldsnap,none
FB000139,Bottoms,Zara,Winter,XXL,Beige,54.88,58.8,22.61,8/6/2025,50,3.5,FALSE,,Dallas,1100,3.8,7.1,178,82,108,37,cold,discount email
FB000140,Shoes,Uniqlo,Spring,L,White,154.13,0,154.13,10/1/2024,31,4.1,TRUE,Size Issue,Atlanta,900,5.5,16.4,165,67,25,11,rain,none
FB000141,Dresses,Ann Taylor,Spring,XS,Gray,131.5,0,131.5,11/3/2024,5,,FALSE,,Atlanta,900,4.5,7.2,157,58,102,92,rain,sustainability promo
FB000142,Outerwear,Gap,Summer,M,Blue,133.26,0,133.26,8/6/2025,29,1.3,FALSE,,Chicago,800,7,9.4,167,72,73,114,heatwave,none
FB000143,Shoes,Forever21,Winter,XL,Red,173.91,0,173.91,8/6/2025,21,,FALSE,,Dallas,1100,5.5,8.8,177,76,30,8,cold,sustainability promo
FB000144,Tops,H&M,Spring,L,Beige,102.99,0,102.99,7/16/2025,41,3.9,FALSE,,NY,300,2.5,3.4,174,66,69,99,rain,sustainability promo
FB000145,Outerwear,Zara,Spring,L,Beige,87.78,45.3,48.02,2/17/2025,34,1.8,FALSE,,NY,300,7,7.9,172,67,74,114,rain,sustainability promo
FB000146,Tops,Uniqlo,Winter,,Beige,91.8,15.8,77.3,8/6/2025,30,4.2,FALSE,,NY,300,2.5,3.4,164,72,70,101,cold,discount email
FB000147,Tops,Zara,Winter,L,White,107.32,25.4,80.06,8/6/2025,50,4.4,FALSE,,LA,1200,2.5,6.1,168,75,69,105,cold,discount email
FB000148,Bottoms,Banana Republic,Spring,XXL,Brown,67.69,57.3,28.9,7/24/2025,50,4.6,FALSE,,Chicago,800,3.8,6.199999999999999,176,87,102,46,rain,discount email
FB000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46,36.78,8/6/2025,3,2.5,FALSE,,Chicago,800,2.5,4.9,165,60,65,101,heatwave,none
FB000150,Shoes,Banana Republic,Spring,L,Blue,94.29,0,94.29,9/15/2024,18,1.7,FALSE,,Chicago,800,5.5,7.9,174,77,26,6,rain,sustainability promo
FB000151,Tops,Ann Taylor,Winter,XL,Gray,94.97,0,94.97,8/6/2025,46,4.3,FALSE,,NY,300,2.5,3.4,173,85,68,93,cold,discount email
FB000152,Shoes,Banana Republic,Winter,M,Navy,65.87,11.4,58.36,8/6/2025,15,3.9,FALSE,,Seattle,1150,5.5,8.95,171,73,32,7,cold,discount email
FB000153,Dresses,Zara,Winter,XXL,Blue,155.06,29.4,109.47,8/6/2025,5,3.6,FALSE,,Atlanta,900,4.5,7.2,181,82,104,95,cold,none
FB000154,Outerwear,Zara,Winter,L,Brown,172.59,0,172.59,8/6/2025,1,2.1,FALSE,,Seattle,1150,7,10.45,170,81,69,119,cold,discount email
FB000155,Dresses,H&M,Summer,M,Blue,68.72,0,68.72,8/6/2025,28,1.7,TRUE,Quality Issue,LA,1200,4.5,16.2,169,63,97,89,heatwave,none
FB000156,Tops,Banana Republic,Spring,XL,Blue,28.78,0,28.78,10/3/2024,21,,FALSE,,Chicago,800,2.5,4.9,177,74,63,97,rain,new collection
FB000157,Outerwear,H&M,Winter,XXL,Black,110.32,28.3,79.1,8/6/2025,49,3.3,FALSE,,Seattle,1150,7,10.45,176,93,77,110,cold,discount email
FB000158,Shoes,Mango,Summer,XXL,Black,194.24,0,194.24,8/6/2025,17,1.2,TRUE,Changed Mind,Seattle,1150,5.5,17.9,182,93,25,6,heatwave,new collection
